YEAR DOY HR    1     2     3   4  5     6     7 
2022  19 15   0.4   3.4  622. 20  58   -19 101.9
2022  19 16   0.1   3.0  615. 20  58   -21 101.9
2022  19 17  -0.2   3.0  606. 20  58   -22 101.9
2022  19 18  -0.6   2.8  600. 20  58   -20 101.9
2022  19 19  -0.7   2.7  587. 20  58   -20 101.9
2022  19 20  -0.6   2.6  577. 20  58   -18 101.9
2022  19 21  -0.4   2.3  573. 30  58   -15 101.9
2022  19 22  -0.3   2.6  562. 30  58   -12 101.9
2022  19 23  -1.4   5.3  560. 30  58    -8 101.9
2022  20  0   0.1   7.4  552. 33  57    -8  96.1
2022  20  1   3.3   2.8  520. 33  57   -20  96.1
2022  20  2   1.2   1.7  474. 33  57   -21  96.1
2022  20  3   0.4   1.7  477.  3  57   -21  96.1
2022  20  4   2.1   1.7  468.  3  57   -21  96.1
2022  20  5   3.1   1.7  475.  3  57   -20  96.1
2022  20  6   4.5   1.7  491.  7  57   -16  96.1
2022  20  7   3.6   1.7  475.  7  57   -15  96.1
2022  20  8   1.7   1.5  453.  7  57   -15  96.1
2022  20  9  -0.1   1.9  453.  3  57   -16  96.1
2022  20 10   0.1   1.9  447.  3  57   -19  96.1
2022  20 11   0.2   1.6  448.  3  57   -20  96.1
2022  20 12   0.4   1.7  446.  3  57   -17  96.1
2022  20 13   0.4   1.9  444.  3  57   -16  96.1
2022  20 14  -0.3   1.9  445.  3  57   -16  96.1
2022  20 15   0.4   1.8  439.  7  57   -15  96.1
2022  20 16   1.2   1.9  438.  7  57   -15  96.1
2022  20 17   1.7   1.8  442.  7  57   -15  96.1
